url_key,name,brand_name,price,discount,thumbnail_url,rating_average,review_count
quat-mini-de-ban-tien-loi-khong-gay-tieng-on-xoay-linh-hoat-210-do-hang-chinh-hang-camewell-c201f-p186272720,"Quạt mini để bàn, quạt tích điện, quạt cầm tay chính hãng CWELL, động cơ không tiếng ồn, xoay 210 độ, pin khủng, bản mới",CWELL,99000,50000,https://salt.tikicdn.com/cache/280x280/ts/product/7e/09/66/f0c2e130c0d310847138e96c5ddde58d.jpg,4.6,770
may-say-toc-nagakawa-nag1606-2000w-hang-chinh-hang-p33494720,Máy Sấy Tóc Nagakawa NAG1606 (2000W) - Hàng Chính Hãng,Nagakawa,289000,301000,https://salt.tikicdn.com/cache/280x280/ts/product/cb/7c/67/fd51f1c31772b6e2b876792e74b646b9.JPG,4.6,877
ban-ui-hoi-nuoc-sunhouse-shd2063p-1600w-hang-chinh-hang-p20366631,Bàn Ủi Hơi Nước Sunhouse SHD2063P (1600W) – Hàng Chính Hãng,Sunhouse,229000,103000,https://salt.tikicdn.com/cache/280x280/ts/product/5d/60/2d/0f147503aa3ebc92a2b4cdb108d38e5f.jpg,4.2,370
tong-do-cat-toc-xiaomi-enchen-boost-phien-ban-moi-2019-hang-chinh-hang-p33414955,Tông đơ cắt tóc xiaomi Enchen Boost phiên bản mới 2020 hàng chính hãng,Xiaomi,179000,120000,https://salt.tikicdn.com/cache/280x280/ts/product/85/4b/ae/c70015eb0b7b541193b30dcb16fd8517.jpg,5.0,70
lo-vi-song-sharp-r-205vn-s-20l-hang-chinh-hang-p414764,Lò Vi Sóng Sharp R-205VN(S) - 20L - Hàng chính hãng,Sharp,1320000,370000,https://salt.tikicdn.com/cache/280x280/ts/product/4f/25/95/a569eb6c41f6fb2b1d42c5433441fb8b.jpg,4.7,1198
noi-com-dien-lock-lock-ejr716ivy-0-8l-hang-chinh-hang-p79410098,Nồi Cơm Điện Lock&Lock EJR716IVY 0.8L - Hàng Chính Hãng,LocknLock,849000,854000,https://salt.tikicdn.com/cache/280x280/ts/product/ee/d1/73/c5113c8efd97d7abfe50d1279d97e40f.jpg,4.6,700
noi-chien-khong-dau-dien-tu-lock-lock-ejf357blk-5-2-lit-hang-chinh-hang-p36626940,Nồi Chiên Không Dầu Điện Tử Lock&Lock EJF357BLK (5.2 Lít) - Hàng Chính Hãng,LocknLock,1899000,3316000,https://salt.tikicdn.com/cache/280x280/ts/product/c6/bf/64/22a2a93516fc1472a620365ec6460e1a.jpg,4.7,6529
be-p-tu-don-sunhouse-shd6803-1800w-kem-noi-lau-hang-chinh-hang-p147903536,Bếp Từ Đơn Sunhouse SHD6803 (1800W) - Kèm Nồi Lẩu - Hàng Chính Hãng,Sunhouse,869000,318000,https://salt.tikicdn.com/cache/280x280/ts/product/c5/46/22/be51f7c582faf5e86fdd11adfeff33a2.jpg,4.7,442
may-hut-bui-mini-cam-tay-deerma-hang-chinh-hang-p31276266,Máy Hút Bụi Mini Cầm Tay DEERMA - Hàng Chính Hãng,Deerma,489000,210000,https://salt.tikicdn.com/cache/280x280/ts/product/6e/fd/84/4861a0c76d7d5be70e44e6fb1dbee547.jpg,5.0,348
am-sieu-toc-nagakawa-nag0308-1-8-lit-hang-chinh-hang-p31252905,Ấm Siêu Tốc Nagakawa NAG0308 (1.8 Lít) - Hàng Chính Hãng,Nagakawa,145000,95000,https://salt.tikicdn.com/cache/280x280/ts/product/1a/d0/f9/61880160cdee6c556a1c5340ff66eeb1.png,4.5,1582
ban-ui-kho-nagakawa-nag1502-1200w-mau-ghi-hang-chinh-hang-p22095571,Bàn Ủi Khô Nagakawa NAG1502 (1200W) - Màu Ghi - Hàng Chính Hãng,Nagakawa,145000,110000,https://salt.tikicdn.com/cache/280x280/media/catalog/producttmp/42/86/72/f6d4995d712d439acc0bd32d44ae4756.jpg,4.6,818
noi-dien-da-nang-locknlock-2-trong-1-nuong-lau-toi-uu-4-che-do-nhiet-4-lit-ejp544wht-ha-ng-chi-nh-ha-ng-p185860447,Nồi điện đa năng LocknLock 2 trong 1 nướng lẩu tối ưu 4 chế độ nhiệt (4 Lít)- EJP544WHT - Hàng chính hãng,LocknLock,1089000,1111000,https://salt.tikicdn.com/cache/280x280/ts/product/86/b5/b6/ceebbcec98751947f3ab1b6464347283.jpg,5.0,204
may-hut-bui-cam-tay-deerma-deerma-vacuum-cleaner-dx700-hang-chinh-hang-p20882633,Máy Hút Bụi Cầm Tay Deerma-Deerma Vacuum Cleaner DX700 - Hàng Chính Hãng,Deerma,655000,11000,https://salt.tikicdn.com/cache/280x280/ts/product/f9/ec/1d/487580743f85e3ee22b396adce274b4e.jpg,4.7,215
ban-ui-kho-philips-hd1172-01-1000w-hang-chinh-hang-p392067,Bàn Ủi Khô Philips HD1172/01 (1000W) - Hàng chính hãng,Philips,299000,70000,https://salt.tikicdn.com/cache/280x280/ts/product/a6/2b/15/74a0961465c3046124158cc3c4bb44b7.jpg,4.6,1409
may-nuong-banh-mi-lock-lock-ejb221blu-730-870-w-hang-chinh-hang-p794609,Máy Nướng Bánh Mì Lock& Lock EJB221BLU (730 - 870 W) - Hàng chính hãng,LocknLock,519000,524000,https://salt.tikicdn.com/cache/280x280/ts/product/7e/15/a6/eb4967f18ac882f2dbe1f0012265e43b.jpg,4.8,871
may-cao-rau-xiaomi-enchen-blackstone-hang-nhap-khau-p35216213,Máy cạo râu Xiaomi Enchen BlackStone - Hàng Nhập Khẩu,Xiaomi,179000,120000,https://salt.tikicdn.com/cache/280x280/ts/product/14/4c/a9/0eba06124b6c7fe99daca5d422048b21.jpg,4.7,103
may-xay-thit-2-luoi-dao-kep-lock-lock-ejm171-2-lit-300w-hang-chinh-hang-p10597625,Máy Xay Thịt 2 Lưỡi Dao Kép Lock&Lock EJM171 (2 Lít - 300W) - Hàng Chính Hãng,LocknLock,709000,725000,https://salt.tikicdn.com/cache/280x280/ts/product/7d/d5/0a/9dbdd35fddb79b6f6e3a0a5e23d8ff07.jpg,4.7,2161
may-xay-sinh-to-lock-lock-ejm436-250w-600ml-hang-chinh-hang-p48025254,Máy Xay Sinh Tố Lock&Lock EJM436MIT (250W - 600ml) - Hàng chính hãng,LocknLock,459000,461000,https://salt.tikicdn.com/cache/280x280/ts/product/ea/52/bb/bad7c223542dd3c878665b3f0f621dc4.jpg,4.6,401
ban-ui-hoi-nuoc-dung-philips-gc518-1600w-xanh-ngoc-hang-chinh-hang-p885374,Bàn Ủi Hơi Nước Đứng Philips GC518 (1600W) - Xanh Ngọc - Hàng chính hãng,Philips,1379000,780000,https://salt.tikicdn.com/cache/280x280/ts/product/9c/ad/b4/85cd87208256a8ac5141827c773a49c1.jpg,4.5,871
may-say-toc-philips-bhc010-10-hang-chinh-hang-p59479717,Máy sấy tóc Philips BHC010/10 - Hàng Chính Hãng,Philips,279000,116000,https://salt.tikicdn.com/cache/280x280/ts/product/b8/73/05/1be38339f129b7c8b109ce209c9a33dc.jpg,4.8,329
