link_item,name_comment,content_comment,skuInfo_comment,like_count
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,P***.Chứng nhận đã mua hàng,"Chào bạn, OPPO chân thành cảm ơn bạn đã tin dùng sản phẩm. OPPO hy vọng bạn sẽ yêu thích và có những trải nghiệm thật tốt khi sử dụng sản phẩm ạ. Nếu có bất kỳ thắc mắc nào, bạn vui lòng nhắn tin cho OPPO để có thể hỗ trợ bạn trong thời gian sớm nhất nhé. Cảm ơn bạn",Nhóm Màu:Đen,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,Huy C.Chứng nhận đã mua hàng,"Hai khe cắm SIM cho tiện lợi, Màn hình sắc nét với độ phân giải Full HD+, Chất lượng camera tuyệt vời để ghi lại những khoảnh khắc, Hai khe cắm SIM cho tiện lợi,  ",Nhóm Màu:Đen,0
https://www.lazada.vn/products/dien-thoai-oppo-a58-6gb128gb-hang-chinh-hang-i2395322903.html,T***.Chứng nhận đã mua hàng,"Chào bạn, OPPO chân thành cảm ơn bạn đã tin dùng sản phẩm. OPPO hy vọng bạn sẽ yêu thích và có những trải nghiệm thật tốt khi sử dụng sản phẩm ạ. Nếu có bất kỳ thắc mắc nào, bạn vui lòng nhắn tin cho OPPO để có thể hỗ trợ bạn trong thời gian sớm nhất nhé. Cảm ơn bạn",Nhóm Màu:Đen,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,0***2Chứng nhận đã mua hàng,ip13 prm grey đẹp xuất sắc luôn shop  ,Phân Loại Sản Phẩm:13,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Minh H.Chứng nhận đã mua hàng,mình muống màu tím  nha shop ,Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Be R.Chứng nhận đã mua hàng,"Chất liệu:
k dung san phẩm ",Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,0***2Chứng nhận đã mua hàng,ip13 prm grey đẹp xuất sắc luôn shop  ,Phân Loại Sản Phẩm:13,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Minh H.Chứng nhận đã mua hàng,mình muống màu tím  nha shop ,Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Be R.Chứng nhận đã mua hàng,"Chất liệu:
k dung san phẩm ",Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,0***2Chứng nhận đã mua hàng,ip13 prm grey đẹp xuất sắc luôn shop  ,Phân Loại Sản Phẩm:13,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Minh H.Chứng nhận đã mua hàng,mình muống màu tím  nha shop ,Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Be R.Chứng nhận đã mua hàng,"Chất liệu:
k dung san phẩm ",Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,0***2Chứng nhận đã mua hàng,ip13 prm grey đẹp xuất sắc luôn shop  ,Phân Loại Sản Phẩm:13,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Minh H.Chứng nhận đã mua hàng,mình muống màu tím  nha shop ,Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Be R.Chứng nhận đã mua hàng,"Chất liệu:
k dung san phẩm ",Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,0***2Chứng nhận đã mua hàng,ip13 prm grey đẹp xuất sắc luôn shop  ,Phân Loại Sản Phẩm:13,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Minh H.Chứng nhận đã mua hàng,mình muống màu tím  nha shop ,Phân Loại Sản Phẩm:1,0
https://www.lazada.vn/products/voucher-bao-sieu-khung-nhan-iphone-13-promax-256gb-e-sticker-i2632094176.html,Be R.Chứng nhận đã mua hàng,"Chất liệu:
k dung san phẩm ",Phân Loại Sản Phẩm:1,0
