title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
"[CHÍNH HÃNG] Bao cao su G'EXlife (Mỏng, ôm khít, gân gai, kéo dài thời gian, BCS gia đình) [Gexlife, gex life, getlife]",205.000 ₫,https://www.lazada.vn/products/chinh-hang-bao-cao-su-gexlife-mong-om-khit-gan-gai-keo-dai-thoi-gian-bcs-gia-dinh-gexlife-gex-life-getlife-i2417430716.html,https://img.lazcdn.com/g/p/9205bdf11ed880a49fa97bfc62c45f0a.jpg_400x400q75.jpg_.webp,24,24,,"7 Đã bán
(2)
Hồ Chí Minh",lazada,health,sex,24,0
"[Che tên SP 100%] Bao cao su nam Performa kéo dài thời gian quan hệ, BCS gân gai Pleasuremax chống xuất tinh sớm Hộp 12 BCS",24.302 ₫,https://www.lazada.vn/products/che-ten-sp-100-bao-cao-su-nam-performa-keo-dai-thoi-gian-quan-he-bcs-gan-gai-pleasuremax-chong-xuat-tinh-som-hop-12-bcs-i1015912116.html,https://img.lazcdn.com/g/p/52bb929e6ce3e36a47d8e29296f3adf7.jpg_400x400q75.jpg_.webp,25,25,58% Off,"383 Đã bán
(306)
Hồ Chí Minh",lazada,health,sex,25,0
[Che tên sản phẩm] 6 loại bao cao su Durex 12 bao khách tuỳ chọn (Performa Pleasuremax Invisible Fertherlite Kingtex Fertherlite Ultima),37.724 ₫,https://www.lazada.vn/products/che-ten-san-pham-6-loai-bao-cao-su-durex-12-bao-khach-tuy-chon-performa-pleasuremax-invisible-fertherlite-kingtex-fertherlite-ultima-i1392103027.html,https://img.lazcdn.com/g/p/c6e3f045633021627f72c342b9daeb2c.png_400x400q75.png_.webp,26,26,"50% Off
LazFlash Sale,kết thúc sau 13h","24.4K Đã bán
(3582)
Hồ Chí Minh",lazada,health,sex,26,0
"[Voucher giảm 60K đơn từ 349K] Bao cao su Durex Invisible siêu mỏng, size 52mm, hộp 10 bao",210.000 ₫,https://www.lazada.vn/products/voucher-giam-60k-don-tu-349k-bao-cao-su-durex-invisible-sieu-mong-size-52mm-hop-10-bao-i513886682.html,https://img.lazcdn.com/g/ff/kf/S2d167c73d92d44a38eccbcc692da9c944.jpg_400x400q75.jpg_.webp,27,27,"34% Off
LazFlash Sale,kết thúc sau 1 ngày","20.8K Đã bán
(2476)
Bắc Ninh",lazada,health,sex,27,1
"[CHÍNH HÃNG] Gel Love Kiss 100ml - Gel Bôi Trơn tăng khoái cảm, hương dâu, cấp ẩm cho cuộc yêu thêm nồng nàn, cảm xúc thăng hoa",57.000 ₫,https://www.lazada.vn/products/chinh-hang-gel-love-kiss-100ml-gel-boi-tron-tang-khoai-cam-huong-dau-cap-am-cho-cuoc-yeu-them-nong-nan-cam-xuc-thang-hoa-i2623358513.html,https://img.lazcdn.com/g/p/2451975f808a97a39ba2d9794c6ef08a.png_400x400q75.png_.webp,28,28,40% Off,"(1)
Hồ Chí Minh",lazada,health,sex,28,0
Gel bôi Powgaman - Kéo dài thời gian - Chai 10gr | GUNSHOP VIỆT NAM,300.597 ₫,https://www.lazada.vn/products/gel-boi-powgaman-keo-dai-thoi-gian-chai-10gr-gunshop-viet-nam-i1686814549.html,https://img.lazcdn.com/g/p/71fb8cad709e71f335e6e74980313cbe.jpg_400x400q75.jpg_.webp,29,29,14% Off,"82 Đã bán
(8)
Hồ Chí Minh",lazada,health,sex,29,0
"[Chính Hãng] - Bao cao su OLEO LAMPO COOLING siêu mỏng kéo dài thời gian quan hệ, an toàn, tiện lợi",40.000 ₫,https://www.lazada.vn/products/chinh-hang-bao-cao-su-oleo-lampo-cooling-sieu-mong-keo-dai-thoi-gian-quan-he-an-toan-tien-loi-i2624016970.html,https://img.lazcdn.com/g/p/2b787ce6f0b58f36568a8223f2606841.png_400x400q75.png_.webp,30,30,33% Off,"5 Đã bán
(1)
Hồ Chí Minh",lazada,health,sex,30,0
Combo 6 Hộp Bao Cao Su Durex 70 cái tùy chọn. pleasuremax. invisible. performa. kingtex. fertherlite ultima,44.100 ₫,https://www.lazada.vn/products/combo-6-hop-bao-cao-su-durex-70-cai-tuy-chon-pleasuremax-invisible-performa-kingtex-fertherlite-ultima-i2423796611.html,https://img.lazcdn.com/g/p/26abe650c01d5fa0404b949ce3e8de31.png_400x400q75.png_.webp,31,31,48% Off,"1.1K Đã bán
(363)
Hồ Chí Minh",lazada,health,sex,31,0
"Bao cao su kéo dài thời gian Feelex Performance siêu mỏng, chống xuất tinh sớm cho nam giới, hương vani, socola - Hộp 10 chiếc",106.200 ₫,https://www.lazada.vn/products/bao-cao-su-keo-dai-thoi-gian-feelex-performance-sieu-mong-chong-xuat-tinh-som-cho-nam-gioi-huong-vani-socola-hop-10-chiec-i1691541066.html,https://img.lazcdn.com/g/p/a9ee71cda70a2b972a0dc964e503b46a.png_400x400q75.png_.webp,32,32,47% Off,"9.7K Đã bán
(1550)
Hà Nội",lazada,health,sex,32,1
[HCM]ɡel Bôi Trơn Nhật Bản Vanessa 200ml,28.000 ₫,https://www.lazada.vn/products/hcmel-boi-tron-nhat-ban-vanessa-200ml-i2357299866.html,https://img.lazcdn.com/g/p/95884f501f4198dd9c181c6f517d3b39.jpg_400x400q75.jpg_.webp,33,33,,"98 Đã bán
(19)
Hồ Chí Minh",lazada,health,sex,33,0
