title,price,link_item,image_url,index_,discount_idx,discount_percent_list,countReviews,type,category,subcategory,official_idx,official
Giá treo Tivi 60 - 85 inch Khung treo tivi Thẳng T80,250.000 ₫,https://www.lazada.vn/products/gia-treo-tivi-60-85-inch-khung-treo-tivi-thang-t80-i2260869830.html,https://img.lazcdn.com/g/p/5a4296c8b3b22e0a60b4713db4beaddc.jpg_400x400q75.jpg_.webp,21,21,17% Off,Hồ Chí Minh,lazada,electrichouseware,tivi,21,0
Khung treo Tivi 60-85 inch Cố định Camel CMT80,250.000 ₫,https://www.lazada.vn/products/khung-treo-tivi-60-85-inch-co-dinh-camel-cmt80-i2225866718.html,https://img.lazcdn.com/g/p/8fc70c647e3f1887c11ff2b74c9dbb9b.jpg_400x400q75.jpg_.webp,22,22,17% Off,"6 Đã bán
(2)
Hồ Chí Minh",lazada,electrichouseware,tivi,22,0
Giá treo tivi di động Kệ Treo Tivi Có Bánh Xe Di Chuyển Đa Năng phù hợp mọi không gian và tiết kiệm diện tích,1.290.000 ₫,https://www.lazada.vn/products/gia-treo-tivi-di-dong-ke-treo-tivi-co-banh-xe-di-chuyen-da-nang-phu-hop-moi-khong-gian-va-tiet-kiem-dien-tich-i1354578422.html,https://img.lazcdn.com/g/p/aae6a5124f846a4b9adb17138dd4fa33.jpg_400x400q75.jpg_.webp,23,23,32% Off,"149 Đã bán
(74)
Hà Nội",lazada,electrichouseware,tivi,23,0
Smart Tivi Samsung QLED 4K 85 Inch QA85Q60B,33.188.000 ₫,https://www.lazada.vn/products/smart-tivi-samsung-qled-4k-85-inch-qa85q60b-i2299975176.html,https://img.lazcdn.com/g/p/c1bccf69aef3d875d1636ce03ece2d82.jpg_400x400q75.jpg_.webp,24,24,22% Off,"26 Đã bán
(1)
Hồ Chí Minh",lazada,electrichouseware,tivi,24,1
Loa f tivi samsung zin hãng.,200.000 ₫,https://www.lazada.vn/products/loa-f-tivi-samsung-zin-hang-i1523794272.html,https://img.lazcdn.com/g/ff/kf/S550c5855512a456c8a74022907d92cd2w.jpg_400x400q75.jpg_.webp,25,25,,"(1)
Hà Nội",lazada,electrichouseware,tivi,25,0
Giá Đỡ Giám Sát Camera Đám Mây EZVIZ Thanh Treo Rèm Cửa Sổ Kiểu Kẹp Đế Không Cần Đục Lỗ Máy Giám Sát Cố Định Giường Cũi,84.000 ₫,https://www.lazada.vn/products/gia-do-giam-sat-camera-dam-may-ezviz-thanh-treo-rem-cua-so-kieu-kep-de-khong-can-duc-lo-may-giam-sat-co-dinh-giuong-cui-i2413941324.html,https://img.lazcdn.com/g/ff/kf/S16dd5133a32746da9384f5cef6bc633fu.jpg_400x400q75.jpg_.webp,26,26,,Nước ngoài,lazada,electrichouseware,tivi,26,0
Chân tivi samsung 55AU7000 chính hãng,449.000 ₫,https://www.lazada.vn/products/chan-tivi-samsung-55au7000-chinh-hang-i2652536286.html,https://img.lazcdn.com/g/ff/kf/Sea986fc8ef974d39b1462f94cdba9686t.jpg_400x400q75.jpg_.webp,27,27,,Hà Nội,lazada,electrichouseware,tivi,27,0
[FreeSHIP COD + Lắp Hà Nội] Smart Tivi NanoCell LG 4K 55 inch 50NANO76SQA Real 4K Công nghệ NanoCell Bộ xử lý AI α5 Thế hệ 5,12.790.000 ₫,https://www.lazada.vn/products/freeship-cod-lap-ha-noi-smart-tivi-nanocell-lg-4k-55-inch-50nano76sqa-real-4k-cong-nghe-nanocell-bo-xu-ly-ai-5-the-he-5-i2527585274.html,https://img.lazcdn.com/g/p/90bc011d5d7bcd852d1e79e140fffcb6.jpg_400x400q75.jpg_.webp,28,28,17% Off,Hà Nội,lazada,electrichouseware,tivi,28,1
Giá treo tivi dùng cho mọi tivi từ 14-65 inch đi kèm ốc vít loại thẳng,39.118 ₫,https://www.lazada.vn/products/gia-treo-tivi-dung-cho-moi-tivi-tu-14-65-inch-di-kem-oc-vit-loai-thang-i2568369454.html,https://img.lazcdn.com/g/p/977b03c22d50068a1bfc14f0638cba46.jpg_400x400q75.jpg_.webp,29,29,17% Off,"120 Đã bán
(41)
Hà Nội",lazada,electrichouseware,tivi,29,1
"SEAMANS Giá treo tường cho màn hình, hỗ trợ 14-32 inch, xoay 180 °, chịu được trọng lượng cao",358.000 ₫,https://www.lazada.vn/products/seamans-gia-treo-tuong-cho-man-hinh-ho-tro-14-32-inch-xoay-180-chiu-duoc-trong-luong-cao-i2638192063.html,https://img.lazcdn.com/g/p/097bc7576ee58e0b29a9492d92a604d6.png_400x400q75.png_.webp,30,30,36% Off,Bình Dương,lazada,electrichouseware,tivi,30,0
